# The "recommended" upcase table as found in the spec:
# https://learn.microsoft.com/en-us/windows/win32/fileio/exfat-specification#table-25-recommended-up-case-table-in-compressed-format
#
# This table is already hard-coded in mkfs.exfat. It is included for demo and
# debugging purposes.
#
# The values must be presented in big-endian byte order here as the byte-order
# will be inverted when converted to binary.

0000h 	0001h 	0002h 	0003h 	0004h 	0005h 	0006h 	0007h
0008h 	0009h 	000Ah 	000Bh 	000Ch 	000Dh 	000Eh 	000Fh
0010h 	0011h 	0012h 	0013h 	0014h 	0015h 	0016h 	0017h
0018h 	0019h 	001Ah 	001Bh 	001Ch 	001Dh 	001Eh 	001Fh
0020h 	0021h 	0022h 	0023h 	0024h 	0025h 	0026h 	0027h
0028h 	0029h 	002Ah 	002Bh 	002Ch 	002Dh 	002Eh 	002Fh
0030h 	0031h 	0032h 	0033h 	0034h 	0035h 	0036h 	0037h
0038h 	0039h 	003Ah 	003Bh 	003Ch 	003Dh 	003Eh 	003Fh
0040h 	0041h 	0042h 	0043h 	0044h 	0045h 	0046h 	0047h
0048h 	0049h 	004Ah 	004Bh 	004Ch 	004Dh 	004Eh 	004Fh
0050h 	0051h 	0052h 	0053h 	0054h 	0055h 	0056h 	0057h
0058h 	0059h 	005Ah 	005Bh 	005Ch 	005Dh 	005Eh 	005Fh
0060h 	0041h 	0042h 	0043h 	0044h 	0045h 	0046h 	0047h
0048h 	0049h 	004Ah 	004Bh 	004Ch 	004Dh 	004Eh 	004Fh
0050h 	0051h 	0052h 	0053h 	0054h 	0055h 	0056h 	0057h
0058h 	0059h 	005Ah 	007Bh 	007Ch 	007Dh 	007Eh 	007Fh
0080h 	0081h 	0082h 	0083h 	0084h 	0085h 	0086h 	0087h
0088h 	0089h 	008Ah 	008Bh 	008Ch 	008Dh 	008Eh 	008Fh
0090h 	0091h 	0092h 	0093h 	0094h 	0095h 	0096h 	0097h
0098h 	0099h 	009Ah 	009Bh 	009Ch 	009Dh 	009Eh 	009Fh
00A0h 	00A1h 	00A2h 	00A3h 	00A4h 	00A5h 	00A6h 	00A7h
00A8h 	00A9h 	00AAh 	00ABh 	00ACh 	00ADh 	00AEh 	00AFh
00B0h 	00B1h 	00B2h 	00B3h 	00B4h 	00B5h 	00B6h 	00B7h
00B8h 	00B9h 	00BAh 	00BBh 	00BCh 	00BDh 	00BEh 	00BFh
00C0h 	00C1h 	00C2h 	00C3h 	00C4h 	00C5h 	00C6h 	00C7h
